Time,T1,T2,Q1,Q2
282.01,44.23,29.213,60.0,0.0
283.01,44.198,29.245,60.0,0.0
284.0,44.327,29.245,60.0,0.0
285.0,44.392,29.277,60.0,0.0
286.0,44.424,29.277,60.0,0.0
287.0,44.424,29.277,60.0,0.0
288.01,44.424,29.277,60.0,0.0
289.0,44.424,29.277,60.0,0.0
290.0,44.424,29.277,60.0,0.0
291.0,44.488,29.277,60.0,0.0
292.0,44.488,29.277,60.0,0.0
293.0,44.746,29.277,60.0,0.0
294.0,44.714,29.406,60.0,0.0
295.0,44.746,29.438,60.0,0.0
296.0,44.746,29.503,60.0,0.0
297.0,44.746,29.567,60.0,0.0
298.0,44.746,29.567,60.0,0.0
299.0,44.778,29.6,60.0,0.0
300.0,44.875,29.6,60.0,0.0
301.0,44.907,29.6,60.0,0.0
302.0,45.036,29.6,60.0,0.0
303.0,45.068,29.6,60.0,0.0
304.0,45.068,29.6,60.0,0.0
305.0,45.068,29.6,60.0,0.0
306.0,45.068,29.632,60.0,0.0
307.0,45.068,29.6,60.0,0.0
308.0,45.068,29.6,60.0,0.0
309.0,45.068,29.632,60.0,0.0
310.0,45.068,29.729,60.0,0.0
311.0,45.197,29.729,60.0,0.0
312.0,45.294,29.729,60.0,0.0
313.0,45.229,29.89,60.0,0.0
314.0,45.391,29.89,60.0,0.0
315.0,45.391,29.857,60.0,0.0
316.0,45.391,29.922,60.0,0.0
317.0,45.391,29.922,60.0,0.0
318.01,45.391,29.922,60.0,0.0
319.01,45.391,29.922,60.0,0.0
320.01,45.391,29.922,60.0,0.0
321.0,45.391,29.922,60.0,0.0
322.0,45.391,29.922,60.0,0.0
323.01,45.455,29.954,60.0,0.0
324.0,45.455,29.986,60.0,0.0
325.01,45.584,29.954,60.0,0.0
326.0,45.616,29.986,60.0,0.0
327.01,45.648,30.051,60.0,0.0
328.0,45.681,30.051,60.0,0.0
329.0,45.713,30.244,60.0,0.0
330.01,45.713,30.18,60.0,0.0
331.01,45.713,30.212,60.0,0.0
332.0,45.713,30.244,60.0,0.0
333.0,45.713,30.212,60.0,0.0
334.0,45.713,30.244,60.0,0.0
335.0,45.745,30.244,60.0,0.0
336.01,45.745,30.244,60.0,0.0
337.0,45.745,30.244,60.0,0.0
338.0,46.003,30.244,60.0,0.0
339.0,45.874,30.244,60.0,0.0
340.0,46.003,30.244,60.0,0.0
341.0,46.003,30.244,60.0,0.0
342.0,46.035,30.276,60.0,0.0
343.0,46.035,30.309,60.0,0.0
344.0,46.035,30.309,60.0,0.0
345.0,46.035,30.309,60.0,0.0
346.0,46.035,30.341,60.0,0.0
347.01,46.035,30.373,60.0,0.0
348.01,46.035,30.47,60.0,0.0
349.01,46.035,30.405,60.0,0.0
350.0,46.1,30.534,60.0,0.0
351.0,46.293,30.534,60.0,0.0
352.01,46.325,30.566,60.0,0.0
353.01,46.325,30.566,60.0,0.0
354.01,46.357,30.566,60.0,0.0
355.0,46.357,30.566,60.0,0.0
356.0,46.357,30.566,60.0,0.0
357.01,46.357,30.566,60.0,0.0
358.0,46.357,30.566,60.0,0.0
359.01,46.39,30.566,60.0,0.0
360.01,46.357,30.566,60.0,0.0
361.0,46.357,30.566,60.0,0.0
362.0,46.486,30.599,60.0,0.0
363.0,46.68,30.599,60.0,0.0
364.0,46.615,30.566,60.0,0.0
365.0,46.68,30.76,60.0,0.0
366.0,46.68,30.631,60.0,0.0
367.0,46.68,30.76,60.0,0.0
368.0,46.68,30.856,60.0,0.0
369.0,46.68,30.824,60.0,0.0
